Car_ID,Damage_Location,Repairable_or_Replaceable,Repair_Type,Dent_Type,Price
CAR1,Front_Bumper,Repairable,Scratch,,559
CAR1,Trunk,Repairable,Dent,Deep,4107
CAR2,Hood,Replaceable,,,4916
CAR2,Front_Bumper,Replaceable,,,3253
CAR2,Roof,Replaceable,,,3287
CAR2,Front_Bumper,Repairable,Dent,Shallow,1379
CAR2,Hood,Replaceable,,,4339
CAR2,Rear_Door,Replaceable,,,3718
CAR2,Rear_Door,Repairable,Dent,Extreme,3345
CAR2,Trunk,Repairable,Scratch,,1196
CAR2,Rear_Door,Replaceable,,,4284
CAR3,Rear_Door,Repairable,Dent,Shallow,1167
CAR3,Roof,Repairable,Scratch,,826
CAR3,Roof,Replaceable,,,3179
CAR4,Rear_Door,Repairable,Scratch,,1029
CAR4,Rear_Door,Repairable,Dent,Deep,4469
CAR4,Roof,Replaceable,,,3839
CAR5,Hood,Repairable,Scratch,,785
CAR5,Trunk,Replaceable,,,3787
CAR5,Rear_Door,Repairable,Dent,Extreme,2757
CAR5,Trunk,Repairable,Dent,Extreme,2766
CAR6,Trunk,Repairable,Dent,Shallow,1257
CAR6,Front_Bumper,Replaceable,,,3727
CAR6,Roof,Replaceable,,,3126
CAR7,Trunk,Repairable,Scratch,,1488
CAR7,Trunk,Replaceable,,,3294
CAR7,Trunk,Replaceable,,,4595
CAR7,Rear_Door,Repairable,Scratch,,1347
CAR7,Hood,Replaceable,,,4091
CAR8,Hood,Replaceable,,,4931
CAR8,Trunk,Repairable,Scratch,,929
CAR8,Rear_Door,Replaceable,,,3757
CAR8,Roof,Repairable,Scratch,,1140
CAR8,Hood,Replaceable,,,4133
CAR8,Rear_Door,Replaceable,,,3315
CAR9,Rear_Door,Repairable,Scratch,,845
CAR9,Hood,Replaceable,,,4991
CAR10,Hood,Replaceable,,,3258
CAR11,Roof,Repairable,Scratch,,1206
CAR12,Hood,Repairable,Dent,Shallow,1116
CAR13,Front_Bumper,Repairable,Dent,Deep,3836
CAR13,Trunk,Replaceable,,,4320
CAR13,Front_Bumper,Replaceable,,,4594
CAR13,Front_Bumper,Replaceable,,,4302
CAR13,Front_Bumper,Replaceable,,,3156
CAR13,Hood,Repairable,Scratch,,711
CAR14,Trunk,Replaceable,,,3881
CAR15,Hood,Repairable,Dent,Extreme,2714
CAR15,Roof,Repairable,Dent,Shallow,1595
CAR16,Rear_Door,Repairable,Scratch,,1355
CAR16,Front_Bumper,Repairable,Scratch,,1350
CAR16,Front_Bumper,Repairable,Scratch,,676
CAR16,Rear_Door,Repairable,Dent,Deep,4106
CAR16,Trunk,Replaceable,,,3681
CAR17,Trunk,Replaceable,,,4371
CAR17,Hood,Repairable,Scratch,,828
CAR18,Rear_Door,Repairable,Scratch,,999
CAR18,Front_Bumper,Repairable,Dent,Extreme,2522
CAR18,Roof,Replaceable,,,4556
CAR18,Front_Bumper,Replaceable,,,3955
CAR19,Roof,Replaceable,,,4262
CAR19,Rear_Door,Repairable,Scratch,,549
CAR19,Roof,Repairable,Scratch,,940
CAR19,Trunk,Replaceable,,,4783
CAR19,Hood,Replaceable,,,3226
CAR19,Rear_Door,Repairable,Scratch,,1235
CAR19,Rear_Door,Replaceable,,,3665
CAR20,Roof,Replaceable,,,3212
CAR20,Rear_Door,Repairable,Dent,Shallow,1240
CAR20,Front_Bumper,Replaceable,,,3019
CAR20,Front_Bumper,Repairable,Dent,Shallow,1972
CAR20,Hood,Repairable,Dent,Deep,4175
CAR20,Roof,Repairable,Scratch,,580
CAR20,Rear_Door,Repairable,Dent,Shallow,1662
CAR20,Front_Bumper,Repairable,Dent,Extreme,3171
CAR20,Front_Bumper,Replaceable,,,4163
CAR20,Front_Bumper,Repairable,Scratch,,1250
CAR20,Hood,Replaceable,,,3405
CAR21,Trunk,Replaceable,,,4587
CAR21,Hood,Replaceable,,,3311
CAR21,Hood,Repairable,Dent,Extreme,3338
CAR22,Front_Bumper,Repairable,Scratch,,1409
CAR22,Rear_Door,Repairable,Dent,Extreme,3089
CAR23,Trunk,Replaceable,,,3059
CAR23,Hood,Repairable,Scratch,,1185
CAR23,Rear_Door,Repairable,Scratch,,1211
CAR23,Hood,Replaceable,,,3243
CAR24,Hood,Repairable,Dent,Deep,4045
CAR25,Roof,Repairable,Dent,Deep,3521
CAR25,Front_Bumper,Repairable,Dent,Extreme,2831
CAR25,Hood,Replaceable,,,4323
CAR25,Roof,Repairable,Scratch,,763
CAR25,Front_Bumper,Replaceable,,,3669
CAR26,Front_Bumper,Replaceable,,,4078
CAR27,Hood,Replaceable,,,4637
CAR27,Rear_Door,Replaceable,,,3772
CAR28,Roof,Replaceable,,,4601
CAR28,Front_Bumper,Replaceable,,,4726
CAR29,Hood,Replaceable,,,3912
CAR29,Roof,Replaceable,,,4909
CAR30,Hood,Repairable,Dent,Shallow,1082
CAR30,Roof,Replaceable,,,3904
CAR30,Roof,Repairable,Dent,Deep,3954
